4
Contracted Form
Good Form!
Contracted
Extended Form
Good Form!
Extended
Legs Too Far Apart
Move your legs closer together
Extended
Knees Too Far Forwards
Pull your knees back
Contracted
0,-0.323374271392822,0.0756063610315323,-0.943245828151703,0.859539806842804,0.210546761751175,0.465683817863464,-0.40029388666153,0.123218201100826,-0.908065021038055,-0.0912184864282608,-0.99238395690918,-0.0827840119600296,0.511474967002869,0.0426809191703796,-0.858237504959106,0.932003915309906,0.0931073948740959,-0.350285410881042,0.452187478542328,0.0787346363067627,-0.88844096660614,-0.0712359398603439,-0.994002878665924,0.0829685255885124
0,-0.343965947628021,0.0526063591241837,-0.937507331371307,0.841630697250366,0.249249756336212,0.479095339775085,-0.392093539237976,0.232693567872047,-0.890009164810181,-0.219366520643234,-0.97063148021698,-0.0987566560506821,0.534360826015472,0.010475286282599,-0.845191538333893,0.918049037456512,0.123557977378368,-0.376721680164337,0.477310568094254,0.221929520368576,-0.850248157978058,-0.250970542430878,-0.967094659805298,0.0417352057993412
0,-0.396157532930374,0.0564009547233582,-0.916448652744293,0.811233580112457,0.198546782135963,0.549981117248535,-0.382256716489792,0.232354298233986,-0.894366443157196,-0.246333345770836,-0.961688101291656,-0.120315417647362,0.536681890487671,-0.0904278233647347,-0.838925123214722,0.901689648628235,0.207500144839287,-0.37934073805809,0.426438331604004,0.194497317075729,-0.88335782289505,-0.239708170294762,-0.967142939567566,0.084702342748642
0,-0.385162264108658,0.0169541779905558,-0.922693073749542,0.810092747211456,0.242492944002151,0.533804178237915,-0.397103011608124,0.243451103568077,-0.884895920753479,-0.248965904116631,-0.962905466556549,-0.104062408208847,0.531020760536194,-0.0897253602743149,-0.842594981193542,0.916409015655518,0.187343120574951,-0.353690773248672,0.451860517263412,0.218402564525604,-0.864940702915192,-0.257943630218506,-0.963980853557587,0.0648534446954727
0,-0.296270996332169,0.0312026925384998,-0.954594135284424,0.866845667362213,0.194183304905891,0.459207326173782,-0.390670329332352,0.21389739215374,-0.895334899425507,-0.231277957558632,-0.965261876583099,-0.121573030948639,0.542125344276428,-0.0956014543771744,-0.83484160900116,0.899792373180389,0.165295198559761,-0.403795897960663,0.394302189350128,0.159585550427437,-0.905018329620361,-0.204633519053459,-0.973503887653351,0.102055594325066
1,-0.349965393543243,0.196373611688614,-0.915948510169983,0.870660841464996,0.085165336728096,0.484454929828644,-0.349742710590363,-0.843461573123932,-0.407740920782089,0.893266797065735,-0.414513379335403,-0.173934012651443,0.412077695131302,0.131245523691177,-0.901646554470062,0.893570005893707,0.0641601979732513,-0.44431534409523,0.355985194444656,-0.854336380958557,-0.37866073846817,0.914606332778931,-0.387981742620468,0.113865651190281
1,-0.373423248529434,0.214729607105255,-0.902466773986816,0.869861662387848,0.10710546374321,0.481527894735336,-0.354793220758438,-0.87084299325943,-0.340226829051971,0.928400099277496,-0.333014249801636,-0.16484759747982,0.437411278486252,0.160790532827377,-0.884769916534424,0.884349167346954,0.0803439393639565,-0.45986020565033,0.336738616228104,-0.872017621994019,-0.355235517024994,0.922191321849823,-0.367793411016464,0.119545266032219
1,-0.413196176290512,0.192754864692688,-0.890008091926575,0.825124800205231,0.151844754815102,0.544161856174469,-0.254375815391541,-0.917650163173676,-0.305304884910584,0.91082239151001,-0.402483224868774,-0.0917052328586578,0.441949188709259,0.163265570998192,-0.882057368755341,0.88248884677887,0.112834423780441,-0.456598073244095,0.235036700963974,-0.924539268016815,-0.299974799156189,0.905185520648956,-0.420805901288986,0.0596796497702599
1,-0.394306063652039,0.216111317276955,-0.89320695400238,0.826827883720398,0.13941815495491,0.544902086257935,-0.240143045783043,-0.910680115222931,-0.33614444732666,0.890895426273346,-0.444375932216644,-0.0939961373806,0.450429886579514,0.209442138671875,-0.867897987365723,0.887808442115784,0.0897642597556114,-0.451374053955078,0.253281682729721,-0.907258987426758,-0.335752069950104,0.884110391139984,-0.461532115936279,0.0730549693107605
1,-0.43467503786087,-0.0764692202210426,-0.897334933280945,0.829124510288239,0.129267483949661,0.543914139270782,-0.323908567428589,-0.86316055059433,-0.387346267700195,0.883841037750244,-0.442504733800888,-0.151706039905548,0.528644621372223,-0.12834757566452,-0.839083909988403,0.873903572559357,0.176391318440437,-0.452966421842575,0.344286322593689,-0.87300181388855,-0.345448583364487,0.892355680465698,-0.433029919862747,0.127225831151009
1,-0.350105196237564,-0.202178180217743,-0.914631247520447,0.783877551555634,0.147966250777245,0.60302734375,-0.251608699560165,-0.932659864425659,-0.258531749248505,0.959844589233398,-0.276157230138779,-0.0493510812520981,0.531790494918823,-0.251011908054352,-0.808821320533752,0.725484907627106,0.0491616800427437,-0.686479985713959,0.162503346800804,-0.971665263175964,-0.171637162566185,0.971364915370941,-0.231306612491608,0.0542899779975414
1,-0.354831546545029,-0.219149678945541,-0.908882796764374,0.695484101772308,0.175004377961159,0.696904063224792,-0.247898027300835,-0.930558264255524,-0.269458293914795,0.954657852649689,-0.290182590484619,-0.0665016621351242,0.500239849090576,-0.263530910015106,-0.824809968471527,0.775385499000549,0.315304458141327,-0.547138392925262,0.161482959985733,-0.973438620567322,-0.162297502160072,0.971924483776093,-0.228828281164169,0.0547763518989086
1,-0.343147397041321,0.0471606552600861,-0.938096880912781,0.762665808200836,0.13807986676693,0.631881952285767,-0.249773621559143,-0.926901400089264,-0.280119568109512,0.951450645923615,-0.298492968082428,-0.0751238837838173,0.560945510864258,0.0699790343642235,-0.824889719486237,0.867976665496826,0.117673501372337,-0.482461929321289,0.168024629354477,-0.973561823368073,-0.154742196202278,0.971930265426636,-0.228890866041183,0.0544113926589489
1,-0.426447302103043,-0.448460012674332,-0.785510241985321,0.885978221893311,-0.0452803373336792,0.461510747671127,-0.253013342618942,-0.935002386569977,-0.248505160212517,0.959104895591736,-0.275144100189209,-0.0664347261190414,0.590725302696228,-0.50015127658844,-0.633160591125488,0.920388221740723,0.128190338611603,-0.369395017623901,0.175721734762192,-0.972487032413483,-0.152940720319748,0.970653414726257,-0.232502192258835,0.0614375434815884
1,-0.412248075008392,-0.40626123547554,-0.81547737121582,0.864506661891937,-0.118145480751991,0.488538563251495,-0.249048843979836,-0.935679972171783,-0.249955371022224,0.959493041038513,-0.274901270866394,-0.0616641119122505,0.576478958129883,-0.502094447612762,-0.644649565219879,0.915288031101227,0.132524564862251,-0.38037496805191,0.177804157137871,-0.973039746284485,-0.146899029612541,0.971645653247833,-0.228089392185211,0.0622892566025257
2,-0.477455914020538,-0.0535631068050861,-0.877021551132202,0.648425877094269,0.186702266335487,0.738028585910797,-0.357123136520386,-0.867965042591095,-0.345108449459076,0.941907644271851,-0.262882053852081,-0.209052339196205,0.398218482732773,-0.0702537819743156,-0.914596319198608,0.86859267950058,0.153097435832024,-0.471283167600632,0.29491463303566,-0.925234854221344,-0.238675206899643,0.961973130702972,-0.196381688117981,0.189847409725189
2,-0.417663425207138,-0.0791179686784744,-0.905150592327118,0.730314970016479,0.15246969461441,0.665877640247345,-0.353051662445068,-0.869678020477295,-0.34498518705368,0.951205492019653,-0.231272920966148,-0.204256638884544,0.378126502037048,-0.076365627348423,-0.922598838806152,0.895314812660217,0.112465403974056,-0.431002199649811,0.29670575261116,-0.91436767578125,-0.275494903326035,0.95122629404068,-0.249780043959618,0.181048274040222
2,-0.377233594655991,-0.0150317586958408,-0.925996124744415,0.783300280570984,0.115022160112858,0.610909581184387,-0.40282067656517,-0.763879656791687,-0.504205763339996,0.851406693458557,-0.481480300426483,-0.208046555519104,0.385070085525513,-2.81647480733227E-05,-0.922887325286865,0.878005683422089,0.0992829874157906,-0.468240201473236,0.390003144741058,-0.826419591903687,-0.406113475561142,0.876877725124359,-0.43610668182373,0.20222844183445
2,-0.362863183021545,-0.0851408690214157,-0.927944660186768,0.797064065933228,0.159339308738708,0.582494616508484,-0.403809905052185,-0.782147407531738,-0.47453448176384,0.871026992797852,-0.435880750417709,-0.226539134979248,0.430936753749847,-0.0619755536317825,-0.900251388549805,0.831608653068542,0.117350429296494,-0.542822241783142,0.382429778575897,-0.846522390842438,-0.370333909988403,0.876804530620575,-0.440386652946472,0.193063288927078
2,-0.386587291955948,-0.0623219832777977,-0.92014467716217,0.785346925258636,0.172942236065865,0.594408333301544,-0.48842191696167,-0.755002379417419,-0.43751049041748,0.889059782028198,-0.410211026668549,-0.203222930431366,0.464220523834229,-0.0250795911997557,-0.885364472866058,0.896764814853668,0.0206023119390011,-0.442027628421783,0.436764091253281,-0.807491898536682,-0.396476924419403,0.884068965911865,-0.431795090436935,0.178815454244614
